Username;Comment;Target;Label
darishammani55;ANIES HEBAT Pusat DZOLIM Kalah Ame DKI ye;['None'];1
edwardus_wisnu;Abud salah lagi bae;['None'];1
monikanggraini;Ada tuh dokter muda teriak nekan pemerintah utk lockdown muluk Dokter muda lagunya dah ngalahin para senior Kebaca jelas arahnya keceplosan ngomong politik Utusannya kadrun;['None'];1
ramma_ramadhan;Aduhh Adminnya mirip banget sma kod k Suka ngibul Meningan bantu bagiin masker gy Suruh juga th sh kodok wik wik jgn ngibul mlu;['None'];1
ardhi13ar;Bisaa aje peliharaan nya si joko kalo bacott Logika pea;['None'];1
oggyisthedog;Bubud pandai yaah awas karma bubud jangan enak duniawi aja bantu lah bapak kita jgn kau lahap aja;['None'];1
davidnugs;Cocok untuk dki yg msh dlm kekuasaan gubernur terbodoh;['None'];1
artofcyborgvulture;Gila sih bukannya kerja sama tangani covid malah sibuk jatuhin orang kelas cebs;['None'];1
dewiecubbye;Gw jg heran dalam keadaan bgini wan onta Masih aja nyari panggung Semua yg dy lakukan cuma buat membenturkan Dan tdk serius menangani ini semua;['None'];1
marktan.146;Gw mau bilang pokoknya kalian tandai aja kalo udah si zonk dngkulzul wan aibon dan gerombolannya sepakat suara hati lah kalian udh pasti itu utk kehancuran sbuah negara jgn lupa pilih dukung keputusan yg kebalikannya dr yg mreka sepakati;['None'];1
lenteraniaga;Ha ha ga kayak cebong aja pengin rakyat sudah ya;['None'];1
siwibudiarto1905;Hahahaha abud abud kesian deh loe;['None'];1
reykjavik_helsinki;Janganlah kita terus menerus melecehkan Pak N_Target Walau bgmnpun kan beliau itu GUBERNUR RASA PRESIDEN SEIMAN SANTUN ADEM FASIH BERBAHASA INGGRIS PUNYA JARINGAN INTERNASIONAL Btw udh mirip belum sm kadrun;['aniesbaswedan'];1
azizahmegly2;Jkrta jgn sampe lockdown bisa rusuh nanti jkrta resiko nya besar tau sendiri jkrta bnyak kadrun HTI pasti mereka akan menfaatkan situasi untuk memprokasi warga untuk jarah karna tujuan mereka pengen jokowi mundur dari presiden terus nanti demo berjilid tuh gerombolan wiro sableng;['None'];1
yoniprast_;Jokowidodown;['None'];1
lyns.96;Kadrun kan peak Teriak lockdown tp ga mau dilarang sholat jumat dlu utk smntara;['None'];1
ar_sb.i.am;MAMPUSSS HTi;['None'];1
renhardmanurung688;Makanya kalau dalam situasi musibah jangan bawa bawa politik kadrun harusnya kita bersama tau kan akibatnya kalau pak Dhe sudah ambil keputusan mate ko;['None'];1
kode1708;Makanya pak Amis jgn nantang main catur sama maestronya catur N_Target koq dilawan;['jokowi'];1
melahasan35;Mampppuuuuoooossss lu nis;['None'];1
eli_ferliyani;Mantappp Presidenku Jangan kasih ampun gaberner wantoa;['None'];1
rhb_setyadi;N_Target Pemwrintah cerdas mau di kadali dgn kadal gurun ya kagak lah trus harapannya Utang dan bunga hutang diatas M juga di Lock Down dan pekerja harian tdk dibayar dan kebetulan pasar dunia sepi harusnya bayar hutang karena Lock Down di tunda Tapi bunga simpanan jalan terus ha ha Ha Sedang Masyarakat menengah kebawah dan kecil senakin menderita;['fennyapuy'];1
jlan_hdup;N_Target bukannya tuch dokter adalah pasukan cebong rencananya sih mau cepat cuci tangan tapi udah paham benar kelakuan cebong sprti apa;['monikanggraini'];1
