Username;Comment;Target
;N_Target knp lo gak berani bersumpah dan bertaruh Krnlo pecundang Lo mau lempar batu sembunyi tangan Akun lo aja bodong Lo ngaca Nggak punya kaca Biar lo lihat seberapa pengecutnya lo;['david']
;haha somad somad Muka dekil otak kok ya g malu ngaku ustad;['None']
;hahaha kaum sableng kl berita begini mrk buta tuli;['None']
;hahaha makin stress aja ni umat sableng dlu raja salma jg d catut dlm mslh rijik eh skrg tmbh parah nyatut kepala negara tetangga segitu parahnya pengikut lu mad;['None']
;HIDUP PSI partai SAMPAH indonesia;['None']
;v web abal di bayar brp sih kalianampe rela mau msk neraka emg di injil ga diajarin kali ya Ap kitabny udh di amandemen yahudi Kok org disalib dianggap tuhan Dn knp yahudi nyalib tuhanny tp umatny gk marah tuhanny di salib Brarti pd girang tuhanny m;['None']
;Nggak waras stress berat semoga cepet bunuh diri;['None']
;Org gitu masih ada aja yang belain Astafir Kurangin goblok nya;['None']
;di negaranya diburu sebagai kriminal disini dieluelukan di istana Tragis amat Siapa yang tolol dan konyol Subhanalloh;['None']
;Emang tuhannya ingin seluruh wanita didunia ini di segala jaman berseragam seperti ini Ente emang suka mempersulit diri Onta idiot;['None']
;Harap maklum akhlakul kharimah seorang begundal budak dan jongos;['None']
;Itu tabiat bani onta Kalau bersalah pertama mengikari kedua ngeles ketiga menyalahkan keadaan atau orang lain kemudian yang keempat fitnah wal jamaah Lihat saja yang dilakukan Si Sengkuni al Jogjani kan polanya seperti itu;['None']
;Jadi untuk menjaring suara para pemuja batu dan pipis onta hanya ada satu cara yaitu seolah olah petahana adalah penghina penista penindas agama walaupun tidak ada fakta dan data yang valid Dengan kebohongan dan fitnah yang diulang dan berjamaah;['None']
;Kalau tulisan tuhan itu huruf Cina huruf Korea atau huruf Latin terus tidak sakral bukan keajaiban bukan tanda kebesaran Aulloh Gitu mikirnya tlol banget Emang tuhan cuman bisa nulis arab ya Konyol banget Tapiii ya sudahlah wong kencing on;['None']
;Kelihatan siapa yang kepengin berkuasa menggantikan pemerintah sekarang Tetapi ambisi tanpa prestasi mau tapi tidak mampu Akhirnya omongannya jadi clometan nggak berdasar jadi nggak waras aneh tingkahnya Mereka ini orang frustasi Paham ente;['None']
;Mana suaranya para alumni wan Abud KW Kok cuman pada plonga plongo;['None']
;Membandingkan manusia dengan hewan itu super bodoh tidak senilai Maka klo pertanyaannya dibalik permadi arya tidak menista tidak korupsi dll maka dia sama dengan anjing yg mulia tadi setuju;['None']
;Menurut si Sengkuni al Jogjani yang patut jari koalisi Partai Aullo adalah Paguyuban Korupsi Syariah Gerakan Intoleransi dan Rasis serta Persaudaraan Anti Nasionalis Sertifikat Halal dari langit sedang diurus oleh Sengkuni Segera dibagikan sambil;['None']
;Nggak usah digagas santai saja menghadapi orang frustasi nafsu besar tenaga kurang Anggap saja orang yang agak nggak waras gitu saja Yang penting kita terus kerja kerja dan kerja Semangat bro;['None']
;Inilah contoh yang mewakili akhlakul kharimah kader onta KW Bagaimana jadinya kalau NKRI bisa mereka kuasai orang berwajah Iblis syaitonirojim kayak gini saja bisa merampok duit hampir trilliun Itupun masih banyak pembelanya itu mungkin se;['None']
;Inilah gambaran anak hasil didikan kaum religious bani onta Kalau tidak diselamatkan dari ajaran iblis padang pasir bisa dipastikan gedenya jadi teroris minimal preman berdaster Insya alloh;['None']
;Itulah gambaran tabiat dan akhlak kaum pengusung Wahabi Takfiri Begundal wan Abud Jongos bani onta anti NKRI dan Pancasila Pahlawan negeri sendiri dikapir in dituduh budak sex Keterlaluan katanya orang beragama tapi mulutnya kotor bin busuk p;['None']
;Justru film ini dibuat untuk menutupi adegan yang ente harapkan itu Paham ente Pasti ente belum minum pipis onta syariah pasti;['None']
;Kalau ustadnya aja kayak gini muridnya mau jadi apa Kenapa dagangan jaman jahiliyah masih laku Siapa konsumennya;['None']
;Kan sudah diakui pendukung pasangan A SU banyak yang sakit jiwa;['None']
;Kapan kerjanya wan Abud kok cuman melawak dan cengengesan saja ulahnya Memang spesies wan Abud ini ciri khasnya nggak mampu bekerja baik dan benar jadi ulahnya cuman bikin repot masyarakat;['None']
;Kasian orang ini hidup dalam delusi hidup di dunianya sendiri akibat cuci otak ajaran Wahabi Takfiri Tapi kalau dilakukan secara sadar dia emang dasarnya kriminal anti NKRI UUD dan Pancasila Artinya tidak perlu belas kasihan Tumpas saja sa;['None']
;Kayak lalat nemplok di tempat sampah Dasar sampah masyarakat;['None']
;Ke depannya jangan sampai ada korporasi badan atau perorangan pernah menerima lulusan PT dimana mahasiswa KW dengan otak udang secuil kayak gini Manusia macam gini tidak akan berguna berprestasi dan tak punya nilai lebih bagi employee Sebalikny;['None']
;Kejang dan kesurupan jin padang pasir beri dia kencing onta Insyaalloh tambah parah;['None']
;Klop banget Paguyuban Korupsi Syariah dan penipu ummat koplo Ganti namanya jadi PKSP alias Paguyuban Korupsi Syariah dan Penipuan;['None']
;Krisis moral nih admin mengkritik dengan kalimat tak sopan dan merendahkan;['None']
;KRISTEN AGAMA LICIK AGAMA SESAT YG MELAKUKAN PERNIKAHAN SESAMA JENIS DAN MENCARI JEMAAT BARU DGN IMING DUIT read KRISTENISASI;['None']
;Kristen munafik islam munafik dan cina munafik yg tergabung dalam akun ahoker lebih bahaya dari zionis khususnya cina mereka lebih bahaya dari zionis waspada indonesia;['None']
;Kristen nasi bungkus mau cari dukungan tapi gak laku;['None']
;Kristen yesus di sembah dsr kristen anjing bajingn;['None']
;kritik boleh bego jangan parah admin;['None']
;Kritik dan menghina itu beda cukkk N_Target;['fahiraidris']
;Kritik kok di musuhi rezim gila;['None']
;Kritik rakyat ke jokowi itu udh kaya pendekar yg pake jurus mabok asal Salah satunya ya hewan yg satu itu yg mempunyai nama fahira;['None']
;Kritis boleh tp rasional dongok koq dipelihara buat apa kuliah;['None']
;Kritis boleh goblok karena gak punya otak jgn sampe N_Target;['zaaditt']
;Kritis bolehhh goblok jangan ya ga;['None']
