Username;Comment;Target;Label
jefri.afriyanto;Begini muka demokrasi negara konyol semua yang di atas Kong kalikong silahkan bangga atas kenikmatan dunia tapi tunggu lah akhirat menanti terutama pemimpin KPU anda di beri amanat jg curang MK nya tukang penimbang malah gak adil ikut bantu nyumpahin ah biar doa yg tersakiti terkabul;['None'];0/1
ar.diansyah7933;Bukan dimenangkan scr legal Tapi curang dan berbohong Ya klo berani sumpah dihadpan rakyat d liput tv kroni gpp Presiden dan wakil d depan pendukung baris jejer di belakangnya mulai jusuf mancur aqil sirot mangput dm tgblok sby mega Silahkan dibelakang nya dan bersumpah saya tdk curang dan bohong klo saya curang dan bohong lebih baik saya dan pendukung saya jd babi Coba brani tdk;['None'];0/1
firaunnya_cebong;Gw juga gak yakin klo Al Qur an yg dipake buat sumpah jabatan si joko un itu ada didalamnya ada tulisan ayat suci Al Qur an Takutnya cuma cover luarnya doank tapi dalamnya hanya kertaa putih polos Pernahkah kalian melihat Al Qur an yg dipakai untuk sumpah para pejabat tsb bener Al Qur an;['None'];0/1
alif_permana;Hanya mengingatkan kembali pak N_Target tolong dong di luruskan Apakah bapak akan menjawab dengan kalimat saya tidak tahu atau itu bukan urusan saya hancur indonesia klo begini terus pak;['jokowi'];0/1
rathreebettar3;Hebat mak salut mahasiswa mendem kaya tai hari di empang di telen cebong;['None'];0/1
nyimamay;Itu grup trio penjahat BAWASLU KPU MK SEPERTI NYA TIDAK MALU DILIHATIN SELURUH BANGSA INDONESIA DAN SELURUH MATA DUNIA YG NYATA NYATA MALING MERAMPOK SUARA RAKYAT DEMI MELEGALKAN PERSEKONKOLAN KEJAHATAN MEREKA BERANI AMAT MAU MELANTIK PRESIDEN HASIL PILPRES CURANG APAKAH URAT MALUNYA SUDAH PUTUS TDK PUNYA MALU;['None'];0/1
nelvikurnia;Kalau ada Rasulullah hari ini SEMUA KAUM LGBT AKAN DIBUNUH KARENA MERUSAK TATANAN MANUSIA NORMAL NAFSU IBLIS YG MEREKA JADIKAN PANDUAN LAKNAT ALLAH UTK MEREKA SEMUA PARA LGBT;['None'];0/1
benci_kedok_agama;N_Target Gaji ngurus tai kuda;['burisrowo69'];0/1
ayankku2010;N_Target Waktu dn tempat d persilahkan makin stressss;['nurzanah_'];0/1
fandyaulia87;N_Target alim ulama kamprett klo mau menisbatkan seseorg sebagai ahlul bait hrs jelas dulu nasab keturunannya boss jgn hnya menilai dri mulut ke mulutt;['reza'];0/1
yulianti3715;N_Target anyutin langsung ke kali;['tin_kazashe'];0/1
fandyaulia87;N_Target berprasangka buruk terhadap seseorang yg sudah memfitnah dan betkata buruk kpda pemimpin apakah pantas untuk didiamkan saja ini fakta loh ada di media bkn mengarang atw hnya sekedar berita fitnahan saya bukan berprasangka buruk cmn mengigatkan pengikutnya agar tdk taqlid buta terhadap junjungannya yg membawa diri kita ke arah kemungkaran tanda akhir jaman bos bnyak ulama yg mengajak umatnya ke lembah kesesatan masih blm sadarrr jugaaaa;['reza'];0/1
fandyaulia87;N_Target bukan merasa paling benar boss negara itu bisa maju adil dan makmur tergantung prilaku rakyatnya juga seperti apa kelakuannya dan jgn kebnyakan main game online juga karena game online itu membuat prilaku manusia menjadi HALU;['wahabazrul'];0/1
fandyaulia87;N_Target dan akhirnya mubahalah yg dilakukan oleh si bahar kembali lgi kpda dirinya mknya lisan tuh dijaga sampe hrs memukulin umur dibawah umur apkah itu tindakan yg terpuji susah dah klo yg nmnya manusia itu trlalu fanatik dgn su pemberontak apa yg dia lakukan sllu didukung;['indonesian_akhwat_'];0/1
burisrowo69;N_Target gua timpuk pake tai kuda lu bang Terdzolimi nih gua cebong Lucknut;['benci_kedok_agama'];0/1
benci_kedok_agama;N_Target haha enyah kau dari nkri;['mrs'];0/1
mrs._n.atika_bakri;N_Target hahaha baiklah klu sy dan daerah sy pisah dari lndonesia boleh dong org bego n dungu muka tua jelek hidup pula tuh;['benci_kedok_agama'];0/1
sitipallupi;N_Target ini Thai lend;['abisalma8'];0/1
yafiehaikal;N_Target jelas dimenangin bos kita ga usah bahas kecurangan status Maruf amin sbg pejabat BUMN pun ga jelas kan padahal itu udah jelas dlm UU klo pejabat BUMN ga boleh maju kecuali dah mundur bisa lu jelasin;['kartikapraja_'];0/1
anggaarantxa;N_Target jgn bawa Allah deh buat politik kl Allah melihat ada kebathilan di pasti yg menang la ini jelas menang masi koar aja ngerasa g sih kl wowo g diridhoi wkwkwkwk;['xigy_yagigiri'];0/1
riski_gurdacil;N_Target kamu bilang ulama dg sebutan sprti itu semoga hidayah cepat datang padamu sekeji kejinya manusia jgn sampai menyebut ulama sprti itu ulama itu bukan hanya ulama kami saja tapi tapi ulama mu juga kacuali kau bukan orang islam atau kau orang munafik yg mengaku islam smpai kau menghina ulama sprti itu;['fandyaulia87'];0/1
anggaarantxa;N_Target kl mau bawa Allah hayuk Allah Maha Tau Maha Bijaksana gak mungkin Allah akan menjerumuskan umatNya dengan menangnya brarti lu tau yg bangsat siapa ya lah govlog;['xigy_yagigiri'];0/1
anggaarantxa;N_Target lah gua taun periode jokowi g gila nih golongan lu aja yg gila kemenangan sampe ngajuin ke MK dan jadi bahan lelucon di sosmed gr saksi ahli kalian wkwkwkwk g kebalik siapa yg gila yg gila banyak dr golongan elu kampret;['novalda_17'];0/1
fandyaulia87;N_Target maaf bos bnyak ulama yg baik dapat dijadikan referensi utk diambil ilmunya ulama itu bkn cmn pintar menghafal Al qur an dan Hadist tpi lisannya hrs dijaga agar dapat menjadi contoh buat umatnya sendri msh bnyak umat yg tdk pro dgn bahar karena lisannya yg suka membuat keonaran dan menjadi provokatar keributan;['riski_gurdacil'];0/1
