Username;Comment;Target;Label (0/1)
sutriyonodiarjo;Bani jamban Tenggelamin di septitank saja;['None'];0/1
rit2712;Bani togog emang;['None'];0/1
almuhajir.2008;Bani togog jgn d bawa ke kalimantan ntar malah jd makhluk perusak aja d bumi kalimantan kami;['None'];0/1
kangasep2013;Bani togog pada bengong ndlohom wkwkwk;['None'];0/1
tawakal_juang;Bani togog selalu kepanasan dan kelojotan melihat kiprah FPI yg selalu aktif membantu bencana Aoa yang bisa diperbuat bani togog selain nyinyir;['None'];0/1
angdosh;Bani togog ya gini taek sdh hal lumrah dlm seharian hasil;['None'];0/1
jarkoniwanyadark;BaniTogog Sarapppp;['None'];0/1
bob_12319;Banser nya lagi nyari celana dalem ama BH dulu bro hi hihihihihihi hi hihihihihihi;['None'];0/1
jeffryzen;Baru kali presiden yg tdk diakui rakyat dan maksa jdi pemimpin sejarah terburuk sepanjang masa;['None'];0/1
jefri.afriyanto;Begini muka demokrasi negara konyol semua yang di atas Kong kalikong silahkan bangga atas kenikmatan dunia tapi tunggu lah akhirat menanti terutama pemimpin KPU anda di beri amanat jg curang MK nya tukang penimbang malah gak adil ikut bantu nyumpahin ah biar doa yg tersakiti terkabul;['None'];0/1
koko.sadega;Bela islam gk bole bela kafir bole;['None'];0/1
bravenia1204;Bener emang itu reinkarnasi pki dl mantan pacar gw blg dia anggota prd dan ngaku pki budiman sudjatmiko dan dita indah sari sama wiji tukul tokoh yg dia agung kan dia berusaha nyuci otak gw betapa pki dan gerwani tidak bersalah kl diskusi gw sering berantem akhirnya gw putus gegara kita tak sama cara pandang politik;['None'];0/1
orange.grosir;Berlinang air mataku karena begitu nyeseknya kabar ini buat warga kolam butexxx;['None'];0/1
_rizalmalano_st;Betull;['None'];0/1
phay_jo;Bhs inggrisnya ya sma presiden tailand;['None'];0/1
nabilhoesien;Biadap PKI kw biarkan cok taik lo;['None'];0/1
dickipewe;Biarin dia mungkin doyan makan bangkai sodaranya sendiri N_Target;['gusmiftah'];0/1
adesuherman000000;Bila memang hanya ini satu satunya jln turunkan paksa si jae demi menyelamatkan kemaslahatan negeri tercinta maka tdk ada kata lain selain harus di turunkan;['None'];0/1
fadhiab58;Bismillah Alhamdulillah Muhammadiyah Berkemajuan dan Berpolitik tingkat Tinggi Achirnya Muncul Statemen dar PP Muh Negara dlm Sikon yg Amburadul disemua Lini Kok Mafi Kalam wala Salam Mabberuk PP MUH Saran n Solusinya Gas Pol Sebelum terlambat BANGSA NKRI Benar Punah;['None'];0/1
abdulrahmanhasibuan21;Bntr lagi di penjara perempuan itu karena buat kributan kata polisi org polisinya sudah di bayar Miris hukum ini;['None'];0/1
raniz_maniez;Bukan cebong aja yg blangsatan lha awak juga blangsatan gara cebong;['None'];0/1
ar.diansyah7933;Bukan dimenangkan scr legal Tapi curang dan berbohong Ya klo berani sumpah dihadpan rakyat d liput tv kroni gpp Presiden dan wakil d depan pendukung baris jejer di belakangnya mulai jusuf mancur aqil sirot mangput dm tgblok sby mega Silahkan dibelakang nya dan bersumpah saya tdk curang dan bohong klo saya curang dan bohong lebih baik saya dan pendukung saya jd babi Coba brani tdk;['None'];0/1
isaal_mp;Cara mengalahkan Islam yah dngn fitnah Org kafir tuh pada takut klu v perang Makanya fitnah d sebar;['None'];0/1
puwandi.dika0197;Cebonggwe;['None'];0/1
ysiriyah;Cina Lo numpang di sini gue usir pulang Sono k negara lo;['None'];0/1
lxmibdw;Cina emang suka cari gara;['None'];0/1
suryq.putra;Cina loleng kah ini;['None'];0/1
adihsb_18;Cina sok ber kuasa jaman rezim ini;['None'];0/1
duma_ltoruan;Cina takut difoto pulang tu ke cina pribumi;['None'];0/1
endangkomalasarii;Cina udh numpang ga tau diri;['None'];0/1
aadrian_1010;Baik menurut cebong sudah pasti laknatullah menurut syariat;['None'];Hate
raffa_gaffara77;Bajingan kau mukidi;['None'];Hate
ummi_rsfaf;Bakalan babak belur pdt Esra;['None'];Hate
achdinboy;Bakkkaaar ja tu china;['None'];Hate
dafaswaty;Balas juga di Indonesia hrs dibuat peraturan yg sama ini malah pada bego di Indonesia Cina di elu kan sprt raja sementara kita di cina dibuat sprt kacung;['None'];Hate
heendiisurya;BanSerep setiap unjuk Gigi kebal Goloklah Kebal Gebuk lah susuh ke papua Gempor;['None'];Hate
fikri_mhmd;Bangsad cina;['None'];Hate
mujahidfisabi;Banser artinya ban serep wkwkwk;['None'];Hate
wiumra;Banser mana dasar BanSerap;['None'];Hate
herikurniawan43;Banser tak perlu di jelekin udah keliatan jelek nya Tariiiikkk goyaaaang;['None'];Hate
moh.ersan.afriyona;Bantai PKI jika melihat segera lapor;['None'];Hate
arief_pratama2;Begitulah komunis Cina dikasih hati malah ngelunjak ke warga lokal;['None'];Hate
dithakurniaputri;Berarti bener ya yg dicobloosin masal itu ya berarti MK TAIIIIII;['None'];Hate
omenshakim;Betul tuh jangan dengerin anjing anjing didunia Maya komunis liberalisme fucks JIL;['None'];Hate
rifqyfauzyrahman;Biar banyak dulu cina cina itu uda banyak biar buat onar dulu Udah selesai onarnya kita cingcang kemudian;['None'];Hate
arpisdonalta;Biji cebong digoreng enak;['None'];Hate
oktaaviianus;Blom terulang kejadian cina dulu di bakar;['None'];Hate
zensbungsuh;Bodooooooh Jellas PKI yg sangat kejam Kpada Ulamak;['None'];Hate
putra_banned;Braninya di tempt rame sm lawannya cewe ke tempat sepi mata sipit duel ayo;['None'];Hate
woles_10;Buat Rakyat NKRI Dari Sabang Sampai Marauke Mari Kita Bersatu Jangan dibiarkan Berkembang Biak Anak Cucu dan Antek PKI Komunis di NKRI ini Kita Yang Menjunjung Tinggi Nilai Nilai PANCASILA DAN UUD Kita Wajib binasakan PKI Komunis dari NKRI Mereka Itu Penghianat Mereka Itu Dalang Pembunuhan Ulama Ustad Jenderal TNI dan Kerusuhan Mari Kita Bersatu Untuk Perangi Mereka Kalian semua juga sdh tau Orang nya siapa saja mereka ada yg duduk di pemerintahan di parpol hati PKI Komunis itu Licik Mereka Itu yg menyebarkan Isu Khilafah Mereka suka putar balikkan fakta dgn pencitraan mereka tdk beragama hanya mengaku beragama biar di anggap sm rakyat NKRI mari berpikir sehat dan cerdas utk menjaga NKRI ini dri aksi tipu PKI Komunis yg sdh berjalan di NKRI ini;['None'];Hate
rhgnz_;Buat papatah baru ahhh songong tanda tak pintar terkhusus mukiwi;['None'];Hate
rezaklubis;CINA ANJING CUKONG ITU AYOK CIna bajingan pergi kelen ke Tiongkok sana;['None'];Hate
amran_genio;CINA ANJING LU;['None'];Hate
martino_bimo;CINA YAA HADEHH GEBUKIN AJA LAH BUKAN MANUSIA DIA;['None'];Hate
dodod_urband;Cebong emang merugikan Kita pasti ikut kebawa rugi Geura paraeh atuh lah cebong teh Mubadzir;['None'];Hate
aadrian_1010;Cebong gak akan faham;['None'];Hate
ien_bj_ghuchi;Cebong itu yg penting hidup senang dan perut kenyang;['None'];Hate
sadhamchocs_;Cebong mah pnas smpe mau pindah ibu kota;['None'];Hate
fera_tommy;Cebong mana cebong Sdh baca blm ini;['None'];Hate
