Username;Comment;Target;Label
janisary_archery;Cino kui;['None'];
nyimasweninggalih;Cinta itu ya tunjukkan bukan hanya dipendam mencintai yg dilakukan Rosululloh itu sunnah wajarlah bila umat muslim melakukannya melarangnya berarti melanggar HAM;['None'];
uchiha.itachi05;Cinta kolam;['None'];
hj.ratnawatimisran;Cinta lingkungan pakelah besek dan lain nya dr bambu;['None'];
diann.17;Cinta saya untuk rakyat Papua Semoga tanah air Kita merdeka Dari penguasa yg dzalim;['None'];
adi_febri19;Cipit;['None'];
abdilah544;Coba Laporkan ke MK Pasti dibilang Hoak;['None'];
asandyta;Coba brp menit itu;['None'];
bagus_surya_putra;Coba depan gw ngomong gitu langsung gw beri;['None'];
idhaadha178;Coba di bunuh saja cina tak taudiri ini;['None'];
big_danny73;Coba diaudit tuh rekening ketuanya;['None'];
nikuctciiuu;Coba kalau ketemu d malang awas yaa greget ni;['None'];
m.nur4770;Coba kalo itu bendera tauhid yg dikibarkan pasti perlakuannya beda dituduh radikal lah anti Pancasila lah dll;['None'];
peci_merah212;Coba lu ngusik gubernur gue ape lagi sampe mau lu turunin gue anak Betawi bersumpah ga tinggal diem buat ngelibas elu bong Kalo emang elu ga nyaman tinggal di tanah Betawi elu minggat aje bong dari kampung gue;['None'];
ata.3509;Coba minta tolong pak joko;['None'];
mr._vicky051089;Coba pindah nya itu ke Papua sekalian;['None'];
izradrummer;Coba si Yakult debat terbuka sama Dr Zakir Naik Pengen liat siapa yg kalah argumen nya;['None'];
nirmalasari87;Coba tag orangnya nih yg tau biar hukum sosial yg berjalan klo viral psikisnya yg keganggu semuakan jadinya di tmpt kerja di lingkungan di keluarga itu hukum yg dahsyat bakalan diterima dia buat pelajaran;['None'];
sonny.gantira;Coba tanya siapa yang SURUH;['None'];
leukemia_survivor_;Coba up ke N_Target yuk yang setuju Bakalan lolos gak;['hotmanparisofficial'];
_m45_1nun9_;Cobah duluh ah;['None'];
queenmumuu_;Cobak pas tangan keluar jendela mobil trus kena petir Huft;['None'];
chapther2;Cocok Di rebus aja;['None'];
rifqy80;Cocok cocok;['None'];
nurul291;Cocok itu kalo bisa di bunuh aja biar berkurang pengikut dajjal;['None'];
ennie_pr;Cocok jadi pemimpin negara Aamiin;['None'];
san_2661;Cocok jadi pemimpin negara ora plonga plongo;['None'];
wlena0130;Cocoknya dimatiin ato d usir dari Indonesia;['None'];
irvan.shannen;Cocoknya jadi Presiden;['None'];
srihidayatibintangbulan;Cocoknya lehernya dikasih rantai dan mulutnya sumpel taik seperti makhluk yg diucapkannya;['None'];
henidlheni;Cocoknya manusia ini dibuaang memandang buaya;['None'];
yudiw8266;Cocoknya nyanyi dangdut aja jgn kasih ceramah;['None'];
zuzu_usaharumahan;Cocol cabe rawit ae hikhikhik;['None'];
aburijalkomar;Cocotmu Gus;['None'];
ahmesabieza1994;Cocotnya mirip mantan gubernur yang suka ngomong tai pas lagi live;['None'];
ismailsuniismailsuni;Contoh langsung rakyat tdk suka;['None'];
irvahs;Cool keren;['None'];
axcel_zee;Copot aja yg kayak gini ujung nya minta maaf kek barcon;['None'];
yayang973;Copot gubernur papua;['None'];
pio_poy;Crazy;['None'];
skoloasky33;Cucok bangetttt;['None'];
ocha_sinaga912;Cueehhhhh;['None'];
ocha_sinaga912;Cueehhhhh Jangan kau meludah ke atas langitt jeff Karna ludah mu akan jatuh tepattt di mukkkakk muh KASIANNN NANGIS LAHH NAKK;['None'];
jabidi.jab20;Culik aja;['None'];
ardiwibowobowo;Cuma beda istilah;['None'];
pandianidody;Cuma bisa bilang O;['None'];
putra_banned;Cuma bisa ngakak ana;['None'];
smlxl_;Cuma china yg hidup di indonesia yg pd belagu Sama pribumi hidup udah numpang di tanah pribumi se enak nya melecehkan pribumi itu sebab nya gw kalau ama china Indonesia kgk ada respect nya ke mereka;['None'];
arwino_whizz;Cuma kata PERCEPAT KEMATIANNYA;['None'];
yantihayati434gm;Cuman bentuk nya to ngk ok;['None'];
makhe.ra84;Cunguk begini makin berani dijaman kodok;['None'];
firdsoul;Curang banci;['None'];
gats.kurniawan;Curcol diri sendiri;['None'];
kk_prabu_d5;Cwcebz emang dongo akut;['None'];
astinamauly_thalib;DAN;['None'];
saki_azi;DEAL AYOOO SEGERA BUKA BANK NYA YA;['None'];
thiny_sweet;DEMO BAYARAN Aiiiih;['None'];
esel_skriver;DO NOTHING STOP BOASTING;['None'];
heny.diani26;DRAMANYA GREGET;['None'];
kipo.po;DUA DUANYA KEK BOCAH NJIR AOWKAOWK;['None'];
jodha717;Dada q ikut deg deg ser semangat gitu rasa nya pngen ikut triak;['None'];
alloykoplax2501;Daerah lain akan menyusul sepertinya JOSSS;['None'];
alipsusanto224;Daerah pelosok justru berterima kasih sm pedagang bensin eceran soalnya ga ada pom bensin trus pejabat beraninya sm wong cilik;['None'];
yudi_s;Dagelan;['None'];
ali.maskon;Dah biarin Biar yang nulis aj yg tidur dlm sehari jam Bengep tuh mata;['None'];
alamsyah_nail;Dah matiin aj si sipit;['None'];
ririen_urra_ayhu;Dah smpe ubanan blm kelar jg niiih;['None'];
irvahs;Dahsyat;['None'];
antorezappgmail;Dahsyat gubernur DKI Jakarta pak Anies luar biasa;['None'];
hariandies;Dajjal;['None'];
dianrissing;Dajjal laknatulloh;['None'];
restianrahman;Dalam bgt kata nya josss;['None'];
budi.hartono_;Dalam mobil sedan hitam yg melambaikan tangan di iringin polisi itu siapa ya;['None'];
ahmad0809_gw;Dalem Min ntar ada yg kesinggung lho Min;['None'];
syaiful_lum;Dalilnya bukan urusan saya;['None'];
aqila_clothing;Dalm waktu dekat akn ada bencana untuk Indonesia Mri kita berdoa dn mndektkn dri pada tuhan yg mha esa;['None'];
mas_bud_1928;Dan cebong tetap lah cebong kebodohan diri sendiri terus di tonjolkan;['None'];
tatitw;Dan kalah;['None'];
julian_isham;Dan swasta tsb ndak bukan lain org org dia;['None'];
kenkimhadi88;Dan yang turun adalah harga aset negara semua dijual obral ke cina;['None'];
ristcraft_decoupage;Dangkal;['None'];
dedeleliyanasari;Darahnya halal Perusak generasi;['None'];
buhanbanua;Dari awal aku dah gak suka sama kopi pahit;['None'];
pengkisuwito;Dari awal lihat dan viral di media saat ketika ceramah di klub malam saya sdh gak yakin sama tu orang;['None'];
divaraniarania;Dari dia msh walikota solo saya sdh eneg sama orang ini Dan manusia yg menyanjungkan sungguh lebay;['None'];
achonk1468;Dari negri ini min;['None'];
alfinamahadewi11;Dari pada share hoax lama dan masih nebar benih kebencian sana sini mending urusin Losestreaknya wowo min;['None'];
yudhicom;Darurat;['None'];
agus.purwantoggf;Dasar Bani sipit;['None'];
panji_panglimajihad_umika;Dasar TOGOG bin BOTOL;['None'];
sheniisandyshenii;Dasar TOGOG kalo ngomong kgk d ayak dulu;['None'];
lilonaldo;Dasar anjing Emosi sm si kontol itu Mudah an saya msh hidup prmbantaian manusia sprti ini;['None'];
egifv;Dasar banci;['None'];
zainiarya75;Dasar bangsa togok tolol goblok;['None'];
bnthedoctor;Dasar cina;['None'];
ayuwardani2769;Dasar cina anjing makin buat benci aja sm cina cina kurang ajar ni kalau ketemu sm orang kayak gitu ludahin aja mukanya kayak dia yg punya negara ini;['None'];
ayi_za76;Dasar cina loleng makan babi mukanya rasa mau ku tonjok;['None'];
roni.rachmansyah;Dasar fa ngomong kasar satpam malah diam bukan nolongin;['None'];
andre_pradi02;Dasar jelema gelo;['None'];
aldi_0342;Dasar lu china monyet gk sadar dirilu sekarang lu tinggal dimana Lebih org pribumi dari pada lu goblok;['None'];
rianidarwis;Dasar lu sipanjang hidung ngomong sok pinter ga tau gimn kerja keras anis sampe dipuji oleh negara luar;['None'];
riko_rosi;Dasar manusia tak tau dirii anda cuman numpang idup dinegara kami dasar setan;['None'];
ullah.abdi_inst;Dasar monyet;['None'];
aangsaputra78;Dasar orng kafir g bakal puas menginjak kepala kita sampe mereka ajal;['None'];
sayid_mhmmd;Dasar pemindhan keadilan dan pemerataan ekonomi nanti hbis dr Kalimantan pindah Sulewesi terus Irian jaya sumatera biar Adil dan rata;['None'];
nurulfebriyanni_maulana;Dasar tolol;['None'];
andromeda_clothing_;Dateng ke sumatera barat min Masih banyak pemandangan begini;['None'];
faizalfariji89;Debat ama pak jokowi;['None'];
achmadcharismundziri3i;Debat gk pake kajian rumangsane gampang po;['None'];
zamroni_rowie;Debatnya apa terbuka untuk umum min;['None'];
zuzu_usaharumahan;Demen banget gue min;['None'];
rizalrichi;Demi Allah tabarakallah Allah tabarakallah sebaik baik pembalasan tipu daya mereka;['None'];
faqir212;Demo apa ya min;['None'];
nst.al.sandi_irsan;Demo apaan nih;['None'];
_lexnst;Demo ttg apa g jls;['None'];
purwadipurwa759;Democrazy yahudi zionis punya;['None'];
danangprestiawan;Dengan Matrai urusan kelar Hadeehhhh;['None'];
tegyfirmansyah;Dengar Keluhan Rakyat N_Target N_Target;['jokowi', 'dedikusumawijaya'];
tegyfirmansyah;Dengarkan Ini rakyatmu N_Target N_Target;['jokowi', 'tatang'];
oeisherlly;Denger tuh para pembantu presiden bisikan ke kuping ndoro biar denger klu gk denger beliiin korek kuping;['None'];
aji_nurpijal;Dengerin tuh;['None'];
enginering_die;Dengki tanda tak iman dan mampu;['None'];
1001rasa1;Depan gw pasti masuk tong sampah tuh sipit;['None'];
