Comment;Target;Label
Abu CABUL OTAK BELLENG BELENG;['None'];Hate
Abu bangsat;['None'];Hate
Abu gosok mana woooyyy;['None'];Hate
Ah China Sampah Doang Luh Di Indonesia Pulang Sonoh Luh;['None'];Hate
Akibat presidennya orang CINA Seolah indonesia sudah seperti rumahnya sendiri Dan pribumi dianggap seperti sampah Apa kalian ga sadar wahai CEBONG;['None'];Hate
Anis kontol;['None'];Hate
Anjing Ngent t emngnya knapa N_Target N_Target;['agamrusdi96', 'mhmmdinsan_'];Hate
Apa kabar ya kolam cebong togog kalau mati lampu gini jgn mereka ngap ngapan kehabisan oksegen;['None'];Hate
Apaaaa tahu Penguasa Dzalim tp km membiarkannya Dzalim dengan mengatas namakan Rakyat makmur Justru dengan yg dilakukan Pak Prabowo adalah mengundang Adzab ALLAH SWT;['None'];Hate
Asbun mulut si jaenudin ini;['None'];Hate
Aseli ga faham cara berfikir ini orang apa mesti dungu gitu buat jd ngerti ebong;['None'];Hate
Astaghfirullah Tanya Kenapa Pakdhe RAJA MALING N_Target Tumaannn;['jokowi'];Hate
BANSER MEONG;['None'];Hate
Badai Barunya People Poweeeeeer hei rakyat yg TERDZOLIMIN terPHK sepihak Cebongers yg tertipu Jae Ayuuuk nguuuuumpul ambil kedaulatan rakyat nyolong dibalas nyolong nyawa dibalas nyawa n culik pa Prabowo biar gak denger bisikan pengkhianat setelah pemerintahan ditgn rakyAt keluarkan prabowo jd pemimpin insyaAllah Chaos rakyAt Indonsia ridhoin ALLAH TAKBIIIR ALLAHU AKBAR;['None'];Not_Hate
Baik menurut cebong sudah pasti laknatullah menurut syariat;['None'];Hate
Bajingan kau mukidi;['None'];Hate
Bakalan babak belur pdt Esra;['None'];Hate
Bakkkaaar ja tu china;['None'];Hate
Balas juga di Indonesia hrs dibuat peraturan yg sama ini malah pada bego di Indonesia Cina di elu kan sprt raja sementara kita di cina dibuat sprt kacung;['None'];Hate
BanSerep setiap unjuk Gigi kebal Goloklah Kebal Gebuk lah susuh ke papua Gempor;['None'];Hate
Bangsad cina;['None'];Hate
Banser artinya ban serep wkwkwk;['None'];Hate
Banser mana dasar BanSerap;['None'];Hate
Banser tak perlu di jelekin udah keliatan jelek nya Tariiiikkk goyaaaang;['None'];Hate
Bantai PKI jika melihat segera lapor;['None'];Hate
Begitulah komunis Cina dikasih hati malah ngelunjak ke warga lokal;['None'];Hate
Berarti bener ya yg dicobloosin masal itu ya berarti MK TAIIIIII;['None'];Not_Hate
Betul tuh jangan dengerin anjing anjing didunia Maya komunis liberalisme fucks JIL;['None'];Hate
Biar banyak dulu cina cina itu uda banyak biar buat onar dulu Udah selesai onarnya kita cingcang kemudian;['None'];Hate
Biji cebong digoreng enak;['None'];Hate
Blom terulang kejadian cina dulu di bakar;['None'];Hate
Bodooooooh Jellas PKI yg sangat kejam Kpada Ulamak;['None'];Hate
Braninya di tempt rame sm lawannya cewe ke tempat sepi mata sipit duel ayo;['None'];Hate
Buat Rakyat NKRI Dari Sabang Sampai Marauke Mari Kita Bersatu Jangan dibiarkan Berkembang Biak Anak Cucu dan Antek PKI Komunis di NKRI ini Kita Yang Menjunjung Tinggi Nilai Nilai PANCASILA DAN UUD Kita Wajib binasakan PKI Komunis dari NKRI Mereka Itu Penghianat Mereka Itu Dalang Pembunuhan Ulama Ustad Jenderal TNI dan Kerusuhan Mari Kita Bersatu Untuk Perangi Mereka Kalian semua juga sdh tau Orang nya siapa saja mereka ada yg duduk di pemerintahan di parpol hati PKI Komunis itu Licik Mereka Itu yg menyebarkan Isu Khilafah Mereka suka putar balikkan fakta dgn pencitraan mereka tdk beragama hanya mengaku beragama biar di anggap sm rakyat NKRI mari berpikir sehat dan cerdas utk menjaga NKRI ini dri aksi tipu PKI Komunis yg sdh berjalan di NKRI ini;['None'];Hate
Buat papatah baru ahhh songong tanda tak pintar terkhusus mukiwi;['None'];Hate
CINA ANJING CUKONG ITU AYOK CIna bajingan pergi kelen ke Tiongkok sana;['None'];Hate
CINA ANJING LU;['None'];Hate
