Comment;Target;Label
Cino kui;['None'];Not_Hate
Cinta itu ya tunjukkan bukan hanya dipendam mencintai yg dilakukan Rosululloh itu sunnah wajarlah bila umat muslim melakukannya melarangnya berarti melanggar HAM;['None'];Not_Hate
Cinta kolam;['None'];Hate
Cinta lingkungan pakelah besek dan lain nya dr bambu;['None'];Not_Hate
Cinta saya untuk rakyat Papua Semoga tanah air Kita merdeka Dari penguasa yg dzalim;['None'];Hate
Cipit;['None'];Not_Hate
Coba Laporkan ke MK Pasti dibilang Hoak;['None'];Hate
Coba brp menit itu;['None'];Not_Hate
Coba depan gw ngomong gitu langsung gw beri;['None'];Hate
Coba di bunuh saja cina tak taudiri ini;['None'];Hate
Coba diaudit tuh rekening ketuanya;['None'];Hate
Coba kalau ketemu d malang awas yaa greget ni;['None'];Not_Hate
Coba kalo itu bendera tauhid yg dikibarkan pasti perlakuannya beda dituduh radikal lah anti Pancasila lah dll;['None'];Hate
Coba lu ngusik gubernur gue ape lagi sampe mau lu turunin gue anak Betawi bersumpah ga tinggal diem buat ngelibas elu bong Kalo emang elu ga nyaman tinggal di tanah Betawi elu minggat aje bong dari kampung gue;['None'];Hate
Coba minta tolong pak joko;['None'];Hate
Coba pindah nya itu ke Papua sekalian;['None'];Hate
Coba si Yakult debat terbuka sama Dr Zakir Naik Pengen liat siapa yg kalah argumen nya;['None'];Hate
Coba tag orangnya nih yg tau biar hukum sosial yg berjalan klo viral psikisnya yg keganggu semuakan jadinya di tmpt kerja di lingkungan di keluarga itu hukum yg dahsyat bakalan diterima dia buat pelajaran;['None'];Hate
Coba tanya siapa yang SURUH;['None'];Hate
Coba up ke N_Target yuk yang setuju Bakalan lolos gak;['hotmanparisofficial'];Not_Hate
Cobah duluh ah;['None'];Hate
Cobak pas tangan keluar jendela mobil trus kena petir Huft;['None'];Not_Hate
Cocok Di rebus aja;['None'];Not_Hate
Cocok cocok;['None'];Not_Hate
Cocok itu kalo bisa di bunuh aja biar berkurang pengikut dajjal;['None'];Hate
Cocok jadi pemimpin negara Aamiin;['None'];Not_Hate
Cocok jadi pemimpin negara ora plonga plongo;['None'];Not_Hate
Cocoknya dimatiin ato d usir dari Indonesia;['None'];Not_Hate
Cocoknya jadi Presiden;['None'];Not_Hate
Cocoknya lehernya dikasih rantai dan mulutnya sumpel taik seperti makhluk yg diucapkannya;['None'];Not_Hate
Cocoknya manusia ini dibuaang memandang buaya;['None'];Not_Hate
Cocoknya nyanyi dangdut aja jgn kasih ceramah;['None'];Not_Hate
Cocol cabe rawit ae hikhikhik;['None'];Not_Hate
Cocotmu Gus;['None'];Not_Hate
Cocotnya mirip mantan gubernur yang suka ngomong tai pas lagi live;['None'];Hate
Contoh langsung rakyat tdk suka;['None'];Hate
Cool keren;['None'];Not_Hate
Copot aja yg kayak gini ujung nya minta maaf kek barcon;['None'];Hate
Copot gubernur papua;['None'];Not_Hate
Crazy;['None'];Not_Hate
Cucok bangetttt;['None'];Not_Hate
Cueehhhhh;['None'];Not_Hate
Cueehhhhh Jangan kau meludah ke atas langitt jeff Karna ludah mu akan jatuh tepattt di mukkkakk muh KASIANNN NANGIS LAHH NAKK;['None'];Not_Hate
Culik aja;['None'];Not_Hate
Cuma beda istilah;['None'];Not_Hate
Cuma bisa bilang O;['None'];Hate
Cuma bisa ngakak ana;['None'];Hate
Cuma china yg hidup di indonesia yg pd belagu Sama pribumi hidup udah numpang di tanah pribumi se enak nya melecehkan pribumi itu sebab nya gw kalau ama china Indonesia kgk ada respect nya ke mereka;['None'];Hate
Cuma kata PERCEPAT KEMATIANNYA;['None'];Not_Hate
Cuman bentuk nya to ngk ok;['None'];Not_Hate
Cunguk begini makin berani dijaman kodok;['None'];Not_Hate
Curang banci;['None'];Hate
Curcol diri sendiri;['None'];Not_Hate
Cwcebz emang dongo akut;['None'];Not_Hate
DAN;['None'];Not_Hate
DEAL AYOOO SEGERA BUKA BANK NYA YA;['None'];Not_Hate
DEMO BAYARAN Aiiiih;['None'];Not_Hate
DO NOTHING STOP BOASTING;['None'];Not_Hate
DRAMANYA GREGET;['None'];Not_Hate
DUA DUANYA KEK BOCAH NJIR AOWKAOWK;['None'];Not_Hate
Dada q ikut deg deg ser semangat gitu rasa nya pngen ikut triak;['None'];Not_Hate
Daerah lain akan menyusul sepertinya JOSSS;['None'];Hate
Daerah pelosok justru berterima kasih sm pedagang bensin eceran soalnya ga ada pom bensin trus pejabat beraninya sm wong cilik;['None'];Hate
Dagelan;['None'];Not_Hate
Dah biarin Biar yang nulis aj yg tidur dlm sehari jam Bengep tuh mata;['None'];Not_Hate
Dah matiin aj si sipit;['None'];Not_Hate
Dah smpe ubanan blm kelar jg niiih;['None'];Hate
Dahsyat;['None'];Not_Hate
Dahsyat gubernur DKI Jakarta pak Anies luar biasa;['None'];Not_Hate
Dajjal;['None'];Not_Hate
Dajjal laknatulloh;['None'];Not_Hate
Dalam bgt kata nya josss;['None'];Not_Hate
Dalam mobil sedan hitam yg melambaikan tangan di iringin polisi itu siapa ya;['None'];Not_Hate
Dalem Min ntar ada yg kesinggung lho Min;['None'];Not_Hate
Dalilnya bukan urusan saya;['None'];Hate
Dalm waktu dekat akn ada bencana untuk Indonesia Mri kita berdoa dn mndektkn dri pada tuhan yg mha esa;['None'];Not_Hate
Dan cebong tetap lah cebong kebodohan diri sendiri terus di tonjolkan;['None'];Hate
Dan kalah;['None'];Not_Hate
Dan swasta tsb ndak bukan lain org org dia;['None'];Not_Hate
