Comment;Target;Label
Mana bagusnya kamu lah jok jok penting;['None'];Hate
Mana bisa si doi kayak gini;['None'];Hate
Mana cebong yg Teriak NKRI harga mati;['None'];Hate
Mana yang katanya anti asing tapi ke asing mlu haduu;['None'];Hate
Mancla mencle;['None'];Not_Hate
Mang pada idiot aj yg sampe meriksa tuh anak Kurung batang lu juga pake kalimat TAUHID saat mau dikubur APA IYA JENAZAH DIHENTIKAN DAN si jenazah DIPERIKSA Kalimat hidup dan mati menggunakan kata TAUHID;['None'];Hate
Mangjrak bisa didaur ulang atau buat rumah rumahan;['None'];Hate
Mangkanya sebelum nonton minum kopi editan nya jooss Yang gw heran suara sirine kompoy nya ngak ada lu tolol tolol aja hahaha jangan sampe goblok;['None'];Hate
Mangkin berani aja mrk;['None'];Hate
Mank enak klo ngga dpt legitimasi rakyat;['None'];Hate
Manonjaya Tasikmalaya;['None'];Not_Hate
Manstab;['None'];Not_Hate
Mantaaaaaaaaaaaaaaaaaaaaaaaaabbbbn;['None'];Not_Hate
Mantaaaaaaap saya mendukung bapa berdua;['None'];Hate
Mantaaaaffff;['None'];Not_Hate
Mantaaaafffff;['None'];Not_Hate
Mantaaaap;['None'];Not_Hate
Mantaaab selama th kedepan dia gak mgkn diakui rakyatnya kasiankan;['None'];Hate
Mantaaabbb;['None'];Not_Hate
Mantaaabbb Harus di Like ini mah Semangat terus ka Semoga apa yg saya share bermanfaat;['None'];Hate
Mantaaabbb seharusnyaa inii niii presiden RI yg sangat cerdas dan Bnyak gagasan inspiratif gagasan nya sangat dibutihkn oleh negara lain;['None'];Hate
Mantaaap;['None'];Not_Hate
Mantaaap pa gubrnur terasa presiden;['None'];Hate
Mantaap;['None'];Not_Hate
Mantaapppp;['None'];Not_Hate
Mantab;['None'];Not_Hate
Mantab babe;['None'];Not_Hate
Mantab babe N_Target Bikin mereka membungkam;['haikalhassan_quote'];Not_Hate
Mantab bahasa inggris nya sama kayak Si Jae;['None'];Hate
Mantab bahasanya coba geh presiden suru ngomong begitu;['None'];Hate
Mantab bank syariah adil dan makmur;['None'];Hate
Mantab jelas kan bong;['None'];Hate
Mantab kalilah itu;['None'];Not_Hate
Mantab keren tu untuk suport pak jokowi biar mundur;['None'];Hate
Mantab n se banget;['None'];Hate
